root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
22:05:59.232530 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 1634602725:1634602769, ack 3950290336, win 544, length 44
22:06:01.443638 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2752:2788, ack 2593, win 544, length 36
22:06:01.475075 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2593:2629, ack 2788, win 3565, length 36
22:06:01.475283 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2788:2824, ack 2629, win 544, length 36
22:06:01.506451 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2629:2665, ack 2824, win 3564, length 36
22:06:01.506626 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2824:2860, ack 2665, win 544, length 36
22:06:01.537556 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2665:2701, ack 2860, win 3564, length 36
22:06:01.537771 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2860:2896, ack 2701, win 544, length 36
22:06:01.569366 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2701:2737, ack 2896, win 3564, length 36
22:06:01.569561 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2896:2932, ack 2737, win 544, length 36
22:06:01.600686 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2737:2773, ack 2932, win 3564, length 36
22:06:01.600905 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2932:2968, ack 2773, win 544, length 36
22:06:01.631353 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2773:2809, ack 2968, win 3570, length 36
22:06:01.631524 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 2968:3004, ack 2809, win 544, length 36
22:06:01.664362 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2809:2845, ack 3004, win 3570, length 36
22:06:01.664546 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3004:3040, ack 2845, win 544, length 36
22:06:01.694367 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2845:2881, ack 3040, win 3569, length 36
22:06:01.694559 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3040:3076, ack 2881, win 544, length 36
22:06:01.726382 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2881:2917, ack 3076, win 3569, length 36
22:06:01.726593 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3076:3112, ack 2917, win 544, length 36
22:06:01.757385 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2917:2953, ack 3112, win 3569, length 36
22:06:01.757629 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3112:3148, ack 2953, win 544, length 36
22:06:01.787355 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2953:2989, ack 3148, win 3569, length 36
22:06:01.787547 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3148:3184, ack 2989, win 544, length 36
22:06:01.829429 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2989:3025, ack 3184, win 3569, length 36
22:06:01.829631 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3184:3220, ack 3025, win 544, length 36
22:06:01.848433 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3025:3061, ack 3220, win 3569, length 36
22:06:01.848658 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3220:3256, ack 3061, win 544, length 36
22:06:01.882371 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3061:3097, ack 3256, win 3569, length 36
22:06:01.882590 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3256:3292, ack 3097, win 544, length 36
22:06:01.913370 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3097:3133, ack 3292, win 3568, length 36
22:06:01.913581 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 199-68-126-110.beanfield.net.58068: Flags [P.], seq 3292:3328, ack 3133, win 544, length 36
22:06:01.959389 IP 199-68-126-110.beanfield.net.58068 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3328, win 3568, length 0
22:06:02.172119 IP ec2-54-82-27-10.compute-1.amazonaws.com > lamp-ubuntu-s-1vcpu-1gb-tor1-01: ICMP echo request, id 4, seq 700, length 48
22:06:02.172189 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01 > ec2-54-82-27-10.compute-1.amazonaws.com: ICMP echo reply, id 4, seq 700, length 48
22:06:05.272465 IP 55.21.236.221.broad.cd.sc.dynamic.163data.com.cn.40360 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.redis: Flags [S], seq 1847761055, win 29200, options [mss 1460,sackOK,TS val 2686132422 ecr 0,nop,wscale 7], length 0
root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~#
